城市名称,城市ID
凌源,2142
乐平,2417
茶陵,2812
叶城,120489
长葛,2055
城步,2814
开原,1336
兴山,2692
兴文,3120
巴彦,2220
泸县,3157
宿松,2597
汝南,2317
阿拉尔,120078
平远,1445184
宁陕,2735
榆树,2478
舞钢,2293
襄城,2299
惠来,2917
来凤,2707
永新,2412
曲阳,2546
大石桥,1845
宣威,2160
新宾,2138
米脂,1895
比如,120390
麟游,143851
临湘,2840
新乐,2543
太和,2601
合江,3093
大安,2470
刚察,892
德兴,1558
南丹,3059
新乡县,2257
天柱,2365
博爱,2261
江华,2830
吉隆,120374
沅江,2863
大通,1446304
遂溪,2950
乐至,3143
措勤,120146
沙湾,2504
隆化,2563
祥云,2156
临沭,2909
柳城,3072
诏安,2676
阳谷,2889
霍邱,2606
衡阳县,2824
曹县,2876
栖霞,1445082
原平,3014
新野,2262
高唐,2902
西华,2311
民乐,2803
扬中,1563
昌邑,2880
桑日,120413
清流,2658
阳高,2994
武川,2969
定远,2605
睢宁,3082
潼关,2780
内丘,2519
隆回,2841
岳阳县,2864
武乡,3017
侯马,3019
垣曲,3018
鹿寨,3054
玛沁,2640
岳西,1445972
山阳,2760
资中,3163
北屯,120077
奈曼旗,2980
会昌,143830
滦南,2577
汝州,1386
松滋,2697
夹江,3108
西充,3116
文安,2588
察隅,120394
赵县,2578
锦屏,120445
富川,1446258
泰和,2422
都安,3063
恭城,1446252
上犹,2411
辛集,2541
汉川,2721
汪清,2469
彰武,2145
砚山,2170
新晃,143845
灵璧,2593
长宁,3114
陆川,971
商河,2900
讷河,2229
原阳,2294
安义,2378
灌云,3088
福贡,1446273
云梦,2715
常宁,2813
和林格尔,2956
渑池,2284
舞阳,2086
略阳,2768
平果,3062
溆浦,2859
赫章,2368
水富,2200
陇县,2764
洞口,2818
河间,2522
伊通,2475
新蔡,2318
桂阳,2820
涉县,2560
金塔,2806
惠民,2868
全椒,2617
大名,2554
禄劝,1446291
翁源,2913
师宗,2193
右玉,2085
金乡,2881
桦甸,2459
涟水,3085
高平,3003
沿河,143828
阳曲,2999
高青,2901
灵丘,3008
洛扎,120411
无棣,2877
襄汾,3027
礼县,2785
石渠,1446228
吉水,143849
高台,2805
涡阳,2635
响水,3076
临泉,2596
梓潼,3161
乌审旗,2954
大悟,2701
尼勒克,2492
佛坪,2051
玉田,2568
滦平,645
前郭,2474
龙州,3046
成县,829
镇雄,2214
万载,2430
华池,1446159
奉新,2413
郯城,2908
金阳,1446237
德惠,2473
呼玛,2225
潢川,2309
磁县,2550
淇县,2310
紫阳,2782
郎溪,2632
怀仁,3023
涟源,2836
平顺,1446132
祁东,2849
平罗,2102
正蓝旗,2975
富源,2190
尉氏,2288
修文,2347
玛曲,1446182
绥宁,2853
宁明,1445085
乡城,3107
普安,120453
兴和,2959
仲巴,120376
临颍,2259
卢氏,2273
萝北,2222
镇安,2770
民权,2287
湘阴,2855
昔阳,2988
云县,2206
孝昌,2687
宁晋,2523
长垣,2305
墨竹工卡,1446407
洛川,2772
广灵,3007
叙永,3133
石棉,3158
阳原,2552
罗甸,2360
枝江,1507
阿图什,921
同心,2327
会宁,2789
海晏,1445066
大田,2656
岑巩,120444
广昌,2434
